Creating core
Start listening
Handled: StrategyService::AddGoal (14ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (14ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (30ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (10ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (9ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (14ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (9ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (9ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (30ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::AddGoal (14ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::AddGoal (18ms)
Handled: StrategyService::GetGoal (0ms)
Handled: AdminService::wrongopname (0ms)
Handled: StrategyService::GetGoals (0ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::Next (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: InboxService::DeleteItem (25ms)
Handled: InboxService::GetInbox (0ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (30ms)
Handled: AdminService::wrongopname (9ms)
Handled: StrategyService::GetGoals (9ms)
Handled: CalendarService::Query (0ms)
Handled: CalendarService::Next (0ms)
Handled: StrategyService::GetGoalItems (7ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: StrategyService::AddTask (15ms)
Handled: StrategyService::AddTask (17ms)
Handled: StrategyService::AddTask (21ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (9ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (17ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (9ms)
Handled: AdminService::wrongopname (1ms)
Handled: StrategyService::GetGoals (13ms)
Handled: CalendarService::Query (8ms)
Handled: CalendarService::Next (0ms)
Handled: StrategyService::GetGoalItems (8ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: InboxService::GetInbox (0ms)
Handled: JournalService::GetIndex (8ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: JournalService::GetIndex (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetResources (0ms)
Handled: StrategyService::AddTask (52ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (17ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (17ms)
Handled: StrategyService::AddTask (25ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::ModifyGoal (18ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (30ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::ModifyTask (22ms)
Handled: StrategyService::AddTask (31ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (9ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::ModifyGoal (16ms)
Handled: StrategyService::AddGoal (22ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (22ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::AddTask (14ms)
Handled: StrategyService::ModifyGoal (22ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::AddGoal (30ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::AddObjective (29ms)
Handled: StrategyService::AddGoal (14ms)
Handled: StrategyService::GetGoal (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::GetGoalItems (0ms)
Handled: StrategyService::AddObjective (9ms)
Handled: StrategyService::GetResources (0ms)
Handled: StrategyService::AddResource (23ms)
Handled: StrategyService::GetResources (0ms)
Handled: StrategyService::ModifyObjective (17ms)
Handled: StrategyService::GetGoalItems (0ms)
